Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Stephon Castle;20;SAS;NBA;PG;75;41;26.2;5.1;12.1;0.42;1.2;4.1;0.29;3.9;8.0;0.49;0.47;2.9;4.0;0.72;1.1;2.4;3.5;3.8;0.9;0.3;2.1;2.0;14.3;
Tristan Thompson;33;CLE;NBA;C;38;0;7.0;0.7;1.6;0.46;0.0;0.1;0.00;0.7;1.5;0.48;0.46;0.1;0.6;0.23;0.7;2.0;2.7;0.6;0.0;0.2;0.3;0.8;1.6;
Jarrett Allen;26;CLE;NBA;C;76;76;28.6;5.7;8.0;0.71;0.0;0.1;0.00;5.7;8.0;0.71;0.71;2.5;3.5;0.72;2.7;7.3;10.0;1.9;1.0;0.9;1.2;1.6;13.9;
Donovan Mitchell;28;CLE;NBA;SG;69;69;31.4;8.3;18.6;0.44;3.3;8.9;0.37;5.0;9.7;0.51;0.53;4.2;5.1;0.83;0.8;3.7;4.5;4.9;1.3;0.2;2.1;2.0;24.0;
Javonte Green;32;GSW;NBA;PF;57;1;14.0;2.4;4.4;0.54;0.7;1.9;0.38;1.6;2.5;0.67;0.62;0.9;1.2;0.78;1.3;2.3;3.6;0.9;0.4;0.4;0.9;1.8;6.4;
De'Andre Hunter;27;CLE;NBA;SF;23;4;24.7;4.5;9.2;0.49;2.1;4.8;0.43;2.4;4.3;0.56;0.61;2.7;3.1;0.85;0.7;3.2;3.9;1.1;0.5;0.2;0.7;2.5;13.8;
Darius Garland;25;CLE;NBA;PG;71;71;30.6;7.4;15.6;0.47;2.8;7.0;0.40;4.6;8.6;0.53;0.56;3.0;3.4;0.88;0.6;2.2;2.9;6.7;1.2;0.2;2.5;2.0;20.6;
Chuma Okeke;26;PHI;NBA;PF;7;3;24.4;2.6;4.7;0.55;1.4;3.1;0.46;1.1;1.6;0.73;0.70;0.3;0.4;0.67;2.9;3.3;6.1;1.9;0.7;0.4;0.4;0.7;6.9;
Ty Jerome;27;CLE;NBA;SG;67;2;19.7;4.4;8.6;0.51;1.5;3.6;0.43;2.9;5.1;0.56;0.60;1.9;2.1;0.87;0.7;1.8;2.5;3.3;1.1;0.0;1.3;1.5;12.2;
Dean Wade;28;CLE;NBA;PF;55;28;21.3;1.9;4.6;0.41;1.3;3.8;0.35;0.6;0.8;0.69;0.56;0.3;0.5;0.54;0.9;3.4;4.4;1.3;0.7;0.4;0.4;1.7;5.4;
Max Strus;28;CLE;NBA;SF;46;33;25.0;3.3;7.4;0.44;2.2;5.8;0.39;1.0;1.6;0.64;0.59;0.6;0.7;0.84;1.0;3.2;4.2;3.1;0.5;0.2;1.0;2.1;9.3;
Isaac Okoro;24;CLE;NBA;SG;50;21;18.7;2.1;4.7;0.46;1.0;2.7;0.36;1.1;1.9;0.58;0.56;0.6;0.9;0.71;0.9;1.4;2.2;1.3;0.6;0.3;0.4;1.9;5.9;
Sam Merrill;28;CLE;NBA;SG;67;3;19.6;2.4;6.0;0.40;1.9;5.1;0.36;0.5;0.8;0.64;0.56;0.4;0.4;0.97;0.6;1.7;2.2;1.5;0.7;0.2;0.5;1.7;7.1;
Evan Mobley;23;CLE;NBA;PF;67;67;30.3;7.1;12.7;0.56;1.1;3.1;0.37;6.0;9.6;0.62;0.61;3.1;4.2;0.73;2.2;7.0;9.2;3.1;0.8;1.6;2.0;2.0;18.5;
Luke Travers;23;CLE;NBA;SG;10;0;5.7;0.3;1.1;0.27;0.0;0.4;0.00;0.3;0.7;0.43;0.27;0.2;0.2;1.00;0.5;0.7;1.2;0.5;0.1;0.1;0.5;0.5;0.8;
Emoni Bates;21;CLE;NBA;SF;8;0;3.8;0.4;2.1;0.18;0.4;1.6;0.23;0.0;0.5;0.00;0.27;0.0;0.0;;0.0;0.1;0.1;0.5;0.1;0.0;0.0;0.3;1.1;
Craig Porter;24;CLE;NBA;PG;47;0;8.9;1.1;2.1;0.55;0.3;0.7;0.46;0.8;1.4;0.59;0.63;0.3;0.4;0.71;0.3;0.9;1.1;1.3;0.3;0.3;0.5;0.4;3.0;
Jaylon Tyson;22;CLE;NBA;SG;43;2;8.7;1.1;2.5;0.44;0.3;1.0;0.33;0.8;1.5;0.52;0.51;0.4;0.5;0.80;0.7;1.2;1.9;0.9;0.2;0.0;0.5;1.0;2.9;
Nae'Qwan Tomlin;24;CLE;NBA;PF;4;0;4.3;1.3;2.8;0.46;0.0;0.5;0.00;1.3;2.3;0.56;0.46;0.5;0.8;0.67;0.8;1.5;2.3;0.0;0.0;0.0;0.3;0.8;3.0;
Draymond Green;34;GSW;NBA;PF;62;60;29.1;3.2;7.6;0.43;1.2;3.6;0.32;2.1;3.9;0.53;0.50;1.5;2.3;0.69;1.1;5.1;6.2;5.7;1.4;1.0;2.5;3.2;9.2;
Stephen Curry;36;GSW;NBA;PG;64;64;32.2;8.0;18.0;0.45;4.5;11.2;0.40;3.5;6.7;0.53;0.57;4.1;4.4;0.93;0.5;3.9;4.4;6.1;1.1;0.4;2.8;1.4;24.6;
Jimmy Butler;35;GSW;NBA;SF;24;24;32.5;5.2;11.3;0.46;0.6;2.4;0.24;4.6;8.9;0.51;0.48;6.3;7.4;0.86;2.5;3.5;6.0;6.0;1.5;0.3;1.7;1.0;17.3;
Kevon Looney;28;GSW;NBA;C;70;6;14.9;1.9;3.8;0.51;0.0;0.1;0.40;1.9;3.7;0.51;0.52;0.7;1.3;0.55;2.5;3.6;6.1;1.5;0.6;0.5;0.5;2.1;4.6;
Buddy Hield;32;GSW;NBA;SG;76;22;22.8;4.0;9.5;0.42;2.4;6.6;0.37;1.6;2.9;0.53;0.55;0.7;0.8;0.83;0.6;2.6;3.3;1.7;0.9;0.3;1.2;1.6;11.1;
Gary Payton;38;MIA;NBA;PG;68;28;22.1;2.1;5.4;0.39;0.5;1.8;0.26;1.6;3.6;0.46;0.44;0.6;0.8;0.67;0.3;1.7;1.9;3.0;0.6;0.0;1.0;1.7;5.3;
Kevin Knox;25;GSW;NBA;SF;10;0;6.9;1.4;2.8;0.50;0.3;1.1;0.27;1.1;1.7;0.65;0.55;0.3;0.4;0.75;0.6;0.8;1.4;0.4;0.2;0.4;0.1;0.5;3.4;
Moses Moody;22;GSW;NBA;SG;68;28;22.2;3.4;7.8;0.44;1.8;4.6;0.38;1.7;3.1;0.54;0.55;1.5;1.9;0.81;0.7;1.8;2.5;1.4;0.7;0.4;0.7;1.5;10.1;
Jonathan Kuminga;22;GSW;NBA;PF;42;10;25.0;5.7;12.5;0.46;1.0;3.3;0.32;4.7;9.2;0.51;0.50;3.5;5.3;0.66;1.2;3.5;4.7;2.3;0.9;0.5;1.5;1.9;16.0;
Braxton Key;26;DEN;NBA;SF;20;0;3.0;0.4;0.9;0.41;0.1;0.3;0.40;0.3;0.6;0.42;0.47;0.3;0.4;0.75;0.2;0.8;0.9;0.5;0.1;0.1;0.1;0.3;1.1;
